name,partition,set,error
3tfp,docking,pdbbind,3tfp does not contain any pose data
3tfp,crystal,pdbbind,no ligand for 3tfp (pdbbind set)
4mhy,docking,pdbbind,4mhy does not contain any pose data
4mhy,crystal,pdbbind,no ligand for 4mhy (pdbbind set)
4mq6,docking,pdbbind,4mq6 does not contain any pose data
4mq6,crystal,pdbbind,no ligand for 4mq6 (pdbbind set)
4rd3,docking,pdbbind,4rd3 does not contain any pose data
4rd3,crystal,pdbbind,no ligand for 4rd3 (pdbbind set)
4zji,docking,pdbbind,4zji does not contain any pose data
4zji,crystal,pdbbind,no ligand for 4zji (pdbbind set)
5j8u,docking,pdbbind,5j8u does not contain any pose data
5j8u,crystal,pdbbind,no ligand for 5j8u (pdbbind set)
5mes,docking,pdbbind,5mes does not contain any pose data
5mes,crystal,pdbbind,no ligand for 5mes (pdbbind set)
6b4l,docking,pdbbind,6b4l does not contain any pose data
6b4l,crystal,pdbbind,no ligand for 6b4l (pdbbind set)
6np3,docking,pdbbind,6np3 does not contain any pose data
6np3,crystal,pdbbind,no ligand for 6np3 (pdbbind set)
1f4g,docking,pdbbind,1f4g does not contain any pose data
1f4g,crystal,pdbbind,no ligand for 1f4g (pdbbind set)
1gpn,docking,pdbbind,1gpn does not contain any pose data
1gpn,crystal,pdbbind,no ligand for 1gpn (pdbbind set)
1rpj,docking,pdbbind,1rpj does not contain any pose data
1rpj,crystal,pdbbind,no ligand for 1rpj (pdbbind set)
2wnj,docking,pdbbind,2wnj does not contain any pose data
2wnj,crystal,pdbbind,no ligand for 2wnj (pdbbind set)
3g3r,docking,pdbbind,3g3r does not contain any pose data
3g3r,crystal,pdbbind,no ligand for 3g3r (pdbbind set)
3gsm,docking,pdbbind,3gsm does not contain any pose data
3gsm,crystal,pdbbind,no ligand for 3gsm (pdbbind set)
4e67,docking,pdbbind,4e67 does not contain any pose data
4e67,crystal,pdbbind,no ligand for 4e67 (pdbbind set)
4q3t,docking,pdbbind,4q3t does not contain any pose data
4q3t,crystal,pdbbind,no ligand for 4q3t (pdbbind set)
5yyf,docking,pdbbind,5yyf does not contain any pose data
5yyf,crystal,pdbbind,no ligand for 5yyf (pdbbind set)
6fe0,docking,pdbbind,6fe0 does not contain any pose data
6fe0,crystal,pdbbind,no ligand for 6fe0 (pdbbind set)
6ql1,docking,pdbbind,6ql1 does not contain any pose data
6ql1,crystal,pdbbind,no ligand for 6ql1 (pdbbind set)
1dl7,docking,pdbbind,1dl7 does not contain any pose data
1dl7,crystal,pdbbind,no ligand for 1dl7 (pdbbind set)
3bft,docking,pdbbind,3bft does not contain any pose data
3bft,crystal,pdbbind,no ligand for 3bft (pdbbind set)
3mho,docking,pdbbind,3mho does not contain any pose data
3mho,crystal,pdbbind,no ligand for 3mho (pdbbind set)
3nw3,docking,pdbbind,3nw3 does not contain any pose data
3nw3,crystal,pdbbind,no ligand for 3nw3 (pdbbind set)
3s0b,docking,pdbbind,3s0b does not contain any pose data
3s0b,crystal,pdbbind,no ligand for 3s0b (pdbbind set)
4hw3,docking,pdbbind,4hw3 does not contain any pose data
4hw3,crystal,pdbbind,no ligand for 4hw3 (pdbbind set)
5cu4,docking,pdbbind,5cu4 does not contain any pose data
5cu4,crystal,pdbbind,no ligand for 5cu4 (pdbbind set)
5i2f,docking,pdbbind,5i2f does not contain any pose data
5i2f,crystal,pdbbind,no ligand for 5i2f (pdbbind set)
5nw2,docking,pdbbind,5nw2 does not contain any pose data
5nw2,crystal,pdbbind,no ligand for 5nw2 (pdbbind set)
5tuo,docking,pdbbind,5tuo does not contain any pose data
5tuo,crystal,pdbbind,no ligand for 5tuo (pdbbind set)
5vd0,docking,pdbbind,5vd0 does not contain any pose data
5vd0,crystal,pdbbind,no ligand for 5vd0 (pdbbind set)
6ftw,docking,pdbbind,6ftw does not contain any pose data
6ftw,crystal,pdbbind,no ligand for 6ftw (pdbbind set)
6q54,docking,pdbbind,6q54 does not contain any pose data
6q54,crystal,pdbbind,no ligand for 6q54 (pdbbind set)
2weg,docking,pdbbind,2weg does not contain any pose data
2weg,crystal,pdbbind,no ligand for 2weg (pdbbind set)
3bwj,docking,pdbbind,3bwj does not contain any pose data
3bwj,crystal,pdbbind,no ligand for 3bwj (pdbbind set)
4kzu,docking,pdbbind,4kzu does not contain any pose data
4kzu,crystal,pdbbind,no ligand for 4kzu (pdbbind set)
4mme,docking,pdbbind,4mme does not contain any pose data
4mme,crystal,pdbbind,no ligand for 4mme (pdbbind set)
4oc0,docking,pdbbind,4oc0 does not contain any pose data
4oc0,crystal,pdbbind,no ligand for 4oc0 (pdbbind set)
4yxi,docking,pdbbind,4yxi does not contain any pose data
4yxi,crystal,pdbbind,no ligand for 4yxi (pdbbind set)
6o5t,docking,pdbbind,6o5t does not contain any pose data
6o5t,crystal,pdbbind,no ligand for 6o5t (pdbbind set)
6rfw,docking,pdbbind,6rfw does not contain any pose data
6rfw,crystal,pdbbind,no ligand for 6rfw (pdbbind set)
2usn,docking,pdbbind,2usn does not contain any pose data
2usn,crystal,pdbbind,no ligand for 2usn (pdbbind set)
2xjj,docking,pdbbind,2xjj does not contain any pose data
2xjj,crystal,pdbbind,no ligand for 2xjj (pdbbind set)
3cj4,docking,pdbbind,3cj4 does not contain any pose data
3cj4,crystal,pdbbind,no ligand for 3cj4 (pdbbind set)
3hf8,docking,pdbbind,3hf8 does not contain any pose data
3hf8,crystal,pdbbind,no ligand for 3hf8 (pdbbind set)
3wmc,docking,pdbbind,3wmc does not contain any pose data
3wmc,crystal,pdbbind,no ligand for 3wmc (pdbbind set)
4zbi,docking,pdbbind,4zbi does not contain any pose data
4zbi,crystal,pdbbind,no ligand for 4zbi (pdbbind set)
5jvi,docking,pdbbind,5jvi does not contain any pose data
5jvi,crystal,pdbbind,no ligand for 5jvi (pdbbind set)
5t8o,docking,pdbbind,5t8o does not contain any pose data
5t8o,crystal,pdbbind,no ligand for 5t8o (pdbbind set)
6faf,docking,pdbbind,6faf does not contain any pose data
6faf,crystal,pdbbind,no ligand for 6faf (pdbbind set)
6if0,docking,pdbbind,6if0 does not contain any pose data
6if0,crystal,pdbbind,no ligand for 6if0 (pdbbind set)
6nyv,docking,pdbbind,6nyv does not contain any pose data
6nyv,crystal,pdbbind,no ligand for 6nyv (pdbbind set)
1alw,docking,pdbbind,1alw does not contain any pose data
1alw,crystal,pdbbind,no ligand for 1alw (pdbbind set)
1g74,docking,pdbbind,1g74 does not contain any pose data
1g74,crystal,pdbbind,no ligand for 1g74 (pdbbind set)
1k9s,docking,pdbbind,1k9s does not contain any pose data
1k9s,crystal,pdbbind,no ligand for 1k9s (pdbbind set)
1qy1,docking,pdbbind,1qy1 does not contain any pose data
1qy1,crystal,pdbbind,no ligand for 1qy1 (pdbbind set)
1zhy,docking,pdbbind,1zhy does not contain any pose data
1zhy,crystal,pdbbind,no ligand for 1zhy (pdbbind set)
2h4g,docking,pdbbind,2h4g does not contain any pose data
2h4g,crystal,pdbbind,no ligand for 2h4g (pdbbind set)
2nn7,docking,pdbbind,2nn7 does not contain any pose data
2nn7,crystal,pdbbind,no ligand for 2nn7 (pdbbind set)
2nt7,docking,pdbbind,2nt7 does not contain any pose data
2nt7,crystal,pdbbind,no ligand for 2nt7 (pdbbind set)
2oxy,docking,pdbbind,2oxy does not contain any pose data
2oxy,crystal,pdbbind,no ligand for 2oxy (pdbbind set)
2zft,docking,pdbbind,2zft does not contain any pose data
2zft,crystal,pdbbind,no ligand for 2zft (pdbbind set)
3bva,docking,pdbbind,3bva does not contain any pose data
3bva,crystal,pdbbind,no ligand for 3bva (pdbbind set)
3dx3,docking,pdbbind,3dx3 does not contain any pose data
3dx3,crystal,pdbbind,no ligand for 3dx3 (pdbbind set)
3hzv,docking,pdbbind,3hzv does not contain any pose data
3hzv,crystal,pdbbind,no ligand for 3hzv (pdbbind set)
3o9p,docking,pdbbind,3o9p does not contain any pose data
3o9p,crystal,pdbbind,no ligand for 3o9p (pdbbind set)
3uo4,docking,pdbbind,3uo4 does not contain any pose data
3uo4,crystal,pdbbind,no ligand for 3uo4 (pdbbind set)
4dko,docking,pdbbind,4dko does not contain any pose data
4dko,crystal,pdbbind,no ligand for 4dko (pdbbind set)
4dkr,docking,pdbbind,4dkr does not contain any pose data
4dkr,crystal,pdbbind,no ligand for 4dkr (pdbbind set)
4uj1,docking,pdbbind,4uj1 does not contain any pose data
4uj1,crystal,pdbbind,no ligand for 4uj1 (pdbbind set)
4zeb,docking,pdbbind,4zeb does not contain any pose data
4zeb,crystal,pdbbind,no ligand for 4zeb (pdbbind set)
5g60,docking,pdbbind,5g60 does not contain any pose data
5g60,crystal,pdbbind,no ligand for 5g60 (pdbbind set)
5nw0,docking,pdbbind,5nw0 does not contain any pose data
5nw0,crystal,pdbbind,no ligand for 5nw0 (pdbbind set)
6iez,docking,pdbbind,6iez does not contain any pose data
6iez,crystal,pdbbind,no ligand for 6iez (pdbbind set)
2p7g,docking,pdbbind,2p7g does not contain any pose data
2p7g,crystal,pdbbind,no ligand for 2p7g (pdbbind set)
3wtj,docking,pdbbind,3wtj does not contain any pose data
3wtj,crystal,pdbbind,no ligand for 3wtj (pdbbind set)
1drv,docking,pdbbind,1drv does not contain any pose data
1drv,crystal,pdbbind,no ligand for 1drv (pdbbind set)
1o3l,docking,pdbbind,1o3l does not contain any pose data
1o3l,crystal,pdbbind,no ligand for 1o3l (pdbbind set)
2h21,docking,pdbbind,2h21 does not contain any pose data
2h21,crystal,pdbbind,no ligand for 2h21 (pdbbind set)
2zfs,docking,pdbbind,2zfs does not contain any pose data
2zfs,crystal,pdbbind,no ligand for 2zfs (pdbbind set)
3d0b,docking,pdbbind,3d0b does not contain any pose data
3d0b,crystal,pdbbind,no ligand for 3d0b (pdbbind set)
3fuz,docking,pdbbind,3fuz does not contain any pose data
3fuz,crystal,pdbbind,no ligand for 3fuz (pdbbind set)
3jvs,docking,pdbbind,3jvs does not contain any pose data
3jvs,crystal,pdbbind,no ligand for 3jvs (pdbbind set)
3sr4,docking,pdbbind,3sr4 does not contain any pose data
3sr4,crystal,pdbbind,no ligand for 3sr4 (pdbbind set)
4a4v,docking,pdbbind,4a4v does not contain any pose data
4a4v,crystal,pdbbind,no ligand for 4a4v (pdbbind set)
4aqh,docking,pdbbind,4aqh does not contain any pose data
4aqh,crystal,pdbbind,no ligand for 4aqh (pdbbind set)
4ht2,docking,pdbbind,4ht2 does not contain any pose data
4ht2,crystal,pdbbind,no ligand for 4ht2 (pdbbind set)
4leq,docking,pdbbind,4leq does not contain any pose data
4leq,crystal,pdbbind,no ligand for 4leq (pdbbind set)
4pv5,docking,pdbbind,4pv5 does not contain any pose data
4pv5,crystal,pdbbind,no ligand for 4pv5 (pdbbind set)
4rfr,docking,pdbbind,4rfr does not contain any pose data
4rfr,crystal,pdbbind,no ligand for 4rfr (pdbbind set)
4uac,docking,pdbbind,4uac does not contain any pose data
4uac,crystal,pdbbind,no ligand for 4uac (pdbbind set)
4w9k,docking,pdbbind,4w9k does not contain any pose data
4w9k,crystal,pdbbind,no ligand for 4w9k (pdbbind set)
5cqu,docking,pdbbind,5cqu does not contain any pose data
5cqu,crystal,pdbbind,no ligand for 5cqu (pdbbind set)
6gfs,docking,pdbbind,6gfs does not contain any pose data
6gfs,crystal,pdbbind,no ligand for 6gfs (pdbbind set)
6u8o,docking,pdbbind,6u8o does not contain any pose data
6u8o,crystal,pdbbind,no ligand for 6u8o (pdbbind set)
1dhj,docking,pdbbind,1dhj does not contain any pose data
1dhj,crystal,pdbbind,no ligand for 1dhj (pdbbind set)
1hmr,docking,pdbbind,1hmr does not contain any pose data
1hmr,crystal,pdbbind,no ligand for 1hmr (pdbbind set)
1hp5,docking,pdbbind,1hp5 does not contain any pose data
1hp5,crystal,pdbbind,no ligand for 1hp5 (pdbbind set)
1n4h,docking,pdbbind,1n4h does not contain any pose data
1n4h,crystal,pdbbind,no ligand for 1n4h (pdbbind set)
1yc4,docking,pdbbind,1yc4 does not contain any pose data
1yc4,crystal,pdbbind,no ligand for 1yc4 (pdbbind set)
1yda,docking,pdbbind,1yda does not contain any pose data
1yda,crystal,pdbbind,no ligand for 1yda (pdbbind set)
2bok,docking,pdbbind,2bok does not contain any pose data
2bok,crystal,pdbbind,no ligand for 2bok (pdbbind set)
2xxr,docking,pdbbind,2xxr does not contain any pose data
2xxr,crystal,pdbbind,no ligand for 2xxr (pdbbind set)
3s0e,docking,pdbbind,3s0e does not contain any pose data
3s0e,crystal,pdbbind,no ligand for 3s0e (pdbbind set)
4iue,docking,pdbbind,4iue does not contain any pose data
4iue,crystal,pdbbind,no ligand for 4iue (pdbbind set)
4og3,docking,pdbbind,4og3 does not contain any pose data
4og3,crystal,pdbbind,no ligand for 4og3 (pdbbind set)
5sym,docking,pdbbind,5sym does not contain any pose data
5sym,crystal,pdbbind,no ligand for 5sym (pdbbind set)
5tpx,docking,pdbbind,5tpx does not contain any pose data
5tpx,crystal,pdbbind,no ligand for 5tpx (pdbbind set)
6e5t,docking,pdbbind,6e5t does not contain any pose data
6e5t,crystal,pdbbind,no ligand for 6e5t (pdbbind set)
2zq2,docking,pdbbind,2zq2 does not contain any pose data
2zq2,crystal,pdbbind,no ligand for 2zq2 (pdbbind set)
4db7,docking,pdbbind,4db7 does not contain any pose data
4db7,crystal,pdbbind,no ligand for 4db7 (pdbbind set)
4lbu,docking,pdbbind,4lbu does not contain any pose data
4lbu,crystal,pdbbind,no ligand for 4lbu (pdbbind set)
5oaj,docking,pdbbind,5oaj does not contain any pose data
5oaj,crystal,pdbbind,no ligand for 5oaj (pdbbind set)
6f3b,docking,pdbbind,6f3b does not contain any pose data
6f3b,crystal,pdbbind,no ligand for 6f3b (pdbbind set)
1sld,docking,pdbbind,1sld does not contain any pose data
1sld,crystal,pdbbind,no ligand for 1sld (pdbbind set)
2fqy,docking,pdbbind,2fqy does not contain any pose data
2fqy,crystal,pdbbind,no ligand for 2fqy (pdbbind set)
2hzl,docking,pdbbind,2hzl does not contain any pose data
2hzl,crystal,pdbbind,no ligand for 2hzl (pdbbind set)
2pwc,docking,pdbbind,2pwc does not contain any pose data
2pwc,crystal,pdbbind,no ligand for 2pwc (pdbbind set)
3ove,docking,pdbbind,3ove does not contain any pose data
3ove,crystal,pdbbind,no ligand for 3ove (pdbbind set)
3qox,docking,pdbbind,3qox does not contain any pose data
3qox,crystal,pdbbind,no ligand for 3qox (pdbbind set)
3tfn,docking,pdbbind,3tfn does not contain any pose data
3tfn,crystal,pdbbind,no ligand for 3tfn (pdbbind set)
4fs4,docking,pdbbind,4fs4 does not contain any pose data
4fs4,crystal,pdbbind,no ligand for 4fs4 (pdbbind set)
5er2,docking,pdbbind,5er2 does not contain any pose data
5er2,crystal,pdbbind,no ligand for 5er2 (pdbbind set)
5evz,docking,pdbbind,5evz does not contain any pose data
5evz,crystal,pdbbind,no ligand for 5evz (pdbbind set)
5g1a,docking,pdbbind,5g1a does not contain any pose data
5g1a,crystal,pdbbind,no ligand for 5g1a (pdbbind set)
5vcy,docking,pdbbind,5vcy does not contain any pose data
5vcy,crystal,pdbbind,no ligand for 5vcy (pdbbind set)
6ecz,docking,pdbbind,6ecz does not contain any pose data
6ecz,crystal,pdbbind,no ligand for 6ecz (pdbbind set)
1k1i,docking,pdbbind,1k1i does not contain any pose data
1k1i,crystal,pdbbind,no ligand for 1k1i (pdbbind set)
2p7z,docking,pdbbind,2p7z does not contain any pose data
2p7z,crystal,pdbbind,no ligand for 2p7z (pdbbind set)
3pb9,docking,pdbbind,3pb9 does not contain any pose data
3pb9,crystal,pdbbind,no ligand for 3pb9 (pdbbind set)
4cd4,docking,pdbbind,4cd4 does not contain any pose data
4cd4,crystal,pdbbind,no ligand for 4cd4 (pdbbind set)
1b58,docking,pdbbind,1b58 does not contain any pose data
1b58,crystal,pdbbind,no ligand for 1b58 (pdbbind set)
1fiv,docking,pdbbind,1fiv does not contain any pose data
1fiv,crystal,pdbbind,no ligand for 1fiv (pdbbind set)
1izi,docking,pdbbind,1izi does not contain any pose data
1izi,crystal,pdbbind,no ligand for 1izi (pdbbind set)
2e91,docking,pdbbind,2e91 does not contain any pose data
2e91,crystal,pdbbind,no ligand for 2e91 (pdbbind set)
2pvh,docking,pdbbind,2pvh does not contain any pose data
2pvh,crystal,pdbbind,no ligand for 2pvh (pdbbind set)
2pwr,docking,pdbbind,2pwr does not contain any pose data
2pwr,crystal,pdbbind,no ligand for 2pwr (pdbbind set)
3gs6,docking,pdbbind,3gs6 does not contain any pose data
3gs6,crystal,pdbbind,no ligand for 3gs6 (pdbbind set)
3t8v,docking,pdbbind,3t8v does not contain any pose data
3t8v,crystal,pdbbind,no ligand for 3t8v (pdbbind set)
4qnb,docking,pdbbind,4qnb does not contain any pose data
4qnb,crystal,pdbbind,no ligand for 4qnb (pdbbind set)
4xas,docking,pdbbind,4xas does not contain any pose data
4xas,crystal,pdbbind,no ligand for 4xas (pdbbind set)
5ew0,docking,pdbbind,5ew0 does not contain any pose data
5ew0,crystal,pdbbind,no ligand for 5ew0 (pdbbind set)
5l4i,docking,pdbbind,5l4i does not contain any pose data
5l4i,crystal,pdbbind,no ligand for 5l4i (pdbbind set)
5vja,docking,pdbbind,5vja does not contain any pose data
5vja,crystal,pdbbind,no ligand for 5vja (pdbbind set)
6fag,docking,pdbbind,6fag does not contain any pose data
6fag,crystal,pdbbind,no ligand for 6fag (pdbbind set)
1b38,docking,pdbbind,1b38 does not contain any pose data
1b38,crystal,pdbbind,no ligand for 1b38 (pdbbind set)
1g7g,docking,pdbbind,1g7g does not contain any pose data
1g7g,crystal,pdbbind,no ligand for 1g7g (pdbbind set)
1jzs,docking,pdbbind,1jzs does not contain any pose data
1jzs,crystal,pdbbind,no ligand for 1jzs (pdbbind set)
2euk,docking,pdbbind,2euk does not contain any pose data
2euk,crystal,pdbbind,no ligand for 2euk (pdbbind set)
2f7p,docking,pdbbind,2f7p does not contain any pose data
2f7p,crystal,pdbbind,no ligand for 2f7p (pdbbind set)
2j4g,docking,pdbbind,2j4g does not contain any pose data
2j4g,crystal,pdbbind,no ligand for 2j4g (pdbbind set)
2jdp,docking,pdbbind,2jdp does not contain any pose data
2jdp,crystal,pdbbind,no ligand for 2jdp (pdbbind set)
2wly,docking,pdbbind,2wly does not contain any pose data
2wly,crystal,pdbbind,no ligand for 2wly (pdbbind set)
3dln,docking,pdbbind,3dln does not contain any pose data
3dln,crystal,pdbbind,no ligand for 3dln (pdbbind set)
3ip6,docking,pdbbind,3ip6 does not contain any pose data
3ip6,crystal,pdbbind,no ligand for 3ip6 (pdbbind set)
3lxe,docking,pdbbind,3lxe does not contain any pose data
3lxe,crystal,pdbbind,no ligand for 3lxe (pdbbind set)
3v3q,docking,pdbbind,3v3q does not contain any pose data
3v3q,crystal,pdbbind,no ligand for 3v3q (pdbbind set)
4dkq,docking,pdbbind,4dkq does not contain any pose data
4dkq,crystal,pdbbind,no ligand for 4dkq (pdbbind set)
4h75,docking,pdbbind,4h75 does not contain any pose data
4h75,crystal,pdbbind,no ligand for 4h75 (pdbbind set)
4mr6,docking,pdbbind,4mr6 does not contain any pose data
4mr6,crystal,pdbbind,no ligand for 4mr6 (pdbbind set)
4oc1,docking,pdbbind,4oc1 does not contain any pose data
4oc1,crystal,pdbbind,no ligand for 4oc1 (pdbbind set)
4x8o,docking,pdbbind,4x8o does not contain any pose data
4x8o,crystal,pdbbind,no ligand for 4x8o (pdbbind set)
4zzd,docking,pdbbind,4zzd does not contain any pose data
4zzd,crystal,pdbbind,no ligand for 4zzd (pdbbind set)
5i88,docking,pdbbind,5i88 does not contain any pose data
5i88,crystal,pdbbind,no ligand for 5i88 (pdbbind set)
5l7e,docking,pdbbind,5l7e does not contain any pose data
5l7e,crystal,pdbbind,no ligand for 5l7e (pdbbind set)
5nw1,docking,pdbbind,5nw1 does not contain any pose data
5nw1,crystal,pdbbind,no ligand for 5nw1 (pdbbind set)
5z7j,docking,pdbbind,5z7j does not contain any pose data
5z7j,crystal,pdbbind,no ligand for 5z7j (pdbbind set)
6d5g,docking,pdbbind,6d5g does not contain any pose data
6d5g,crystal,pdbbind,no ligand for 6d5g (pdbbind set)
6eis,docking,pdbbind,6eis does not contain any pose data
6eis,crystal,pdbbind,no ligand for 6eis (pdbbind set)
6i17,docking,pdbbind,6i17 does not contain any pose data
6i17,crystal,pdbbind,no ligand for 6i17 (pdbbind set)
5o87,docking,pdbbind,5o87 does not contain any pose data
5o87,crystal,pdbbind,no ligand for 5o87 (pdbbind set)
6d19,docking,pdbbind,6d19 does not contain any pose data
6d19,crystal,pdbbind,no ligand for 6d19 (pdbbind set)
6fsy,docking,pdbbind,6fsy does not contain any pose data
6fsy,crystal,pdbbind,no ligand for 6fsy (pdbbind set)
1afk,docking,pdbbind,1afk does not contain any pose data
1afk,crystal,pdbbind,no ligand for 1afk (pdbbind set)
1ii5,docking,pdbbind,1ii5 does not contain any pose data
1ii5,crystal,pdbbind,no ligand for 1ii5 (pdbbind set)
2ews,docking,pdbbind,2ews does not contain any pose data
2ews,crystal,pdbbind,no ligand for 2ews (pdbbind set)
2j7b,docking,pdbbind,2j7b does not contain any pose data
2j7b,crystal,pdbbind,no ligand for 2j7b (pdbbind set)
2jgs,docking,pdbbind,2jgs does not contain any pose data
2jgs,crystal,pdbbind,no ligand for 2jgs (pdbbind set)
2vwc,docking,pdbbind,2vwc does not contain any pose data
2vwc,crystal,pdbbind,no ligand for 2vwc (pdbbind set)
3ljo,docking,pdbbind,3ljo does not contain any pose data
3ljo,crystal,pdbbind,no ligand for 3ljo (pdbbind set)
3ozp,docking,pdbbind,3ozp does not contain any pose data
3ozp,crystal,pdbbind,no ligand for 3ozp (pdbbind set)
4btk,docking,pdbbind,4btk does not contain any pose data
4btk,crystal,pdbbind,no ligand for 4btk (pdbbind set)
4er1,docking,pdbbind,4er1 does not contain any pose data
4er1,crystal,pdbbind,no ligand for 4er1 (pdbbind set)
4gfo,docking,pdbbind,4gfo does not contain any pose data
4gfo,crystal,pdbbind,no ligand for 4gfo (pdbbind set)
4mpn,docking,pdbbind,4mpn does not contain any pose data
4mpn,crystal,pdbbind,no ligand for 4mpn (pdbbind set)
4rd0,docking,pdbbind,4rd0 does not contain any pose data
4rd0,crystal,pdbbind,no ligand for 4rd0 (pdbbind set)
6eqv,docking,pdbbind,6eqv does not contain any pose data
6eqv,crystal,pdbbind,no ligand for 6eqv (pdbbind set)
6g38,docking,pdbbind,6g38 does not contain any pose data
6g38,crystal,pdbbind,no ligand for 6g38 (pdbbind set)
2x7t,docking,pdbbind,2x7t does not contain any pose data
2x7t,crystal,pdbbind,no ligand for 2x7t (pdbbind set)
2yfe,docking,pdbbind,2yfe does not contain any pose data
2yfe,crystal,pdbbind,no ligand for 2yfe (pdbbind set)
3f8f,docking,pdbbind,3f8f does not contain any pose data
3f8f,crystal,pdbbind,no ligand for 3f8f (pdbbind set)
4k77,docking,pdbbind,4k77 does not contain any pose data
4k77,crystal,pdbbind,no ligand for 4k77 (pdbbind set)
4lyw,docking,pdbbind,4lyw does not contain any pose data
4lyw,crystal,pdbbind,no ligand for 4lyw (pdbbind set)
4xip,docking,pdbbind,4xip does not contain any pose data
4xip,crystal,pdbbind,no ligand for 4xip (pdbbind set)
5jt9,docking,pdbbind,5jt9 does not contain any pose data
5jt9,crystal,pdbbind,no ligand for 5jt9 (pdbbind set)
6b97,docking,pdbbind,6b97 does not contain any pose data
6b97,crystal,pdbbind,no ligand for 6b97 (pdbbind set)
6elp,docking,pdbbind,6elp does not contain any pose data
6elp,crystal,pdbbind,no ligand for 6elp (pdbbind set)
1lcp,docking,pdbbind,1lcp does not contain any pose data
1lcp,crystal,pdbbind,no ligand for 1lcp (pdbbind set)
1sln,docking,pdbbind,1sln does not contain any pose data
1sln,crystal,pdbbind,no ligand for 1sln (pdbbind set)
2b1g,docking,pdbbind,2b1g does not contain any pose data
2b1g,crystal,pdbbind,no ligand for 2b1g (pdbbind set)
2d3z,docking,pdbbind,2d3z does not contain any pose data
2d3z,crystal,pdbbind,no ligand for 2d3z (pdbbind set)
2za0,docking,pdbbind,2za0 does not contain any pose data
2za0,crystal,pdbbind,no ligand for 2za0 (pdbbind set)
3b26,docking,pdbbind,3b26 does not contain any pose data
3b26,crystal,pdbbind,no ligand for 3b26 (pdbbind set)
3fee,docking,pdbbind,3fee does not contain any pose data
3fee,crystal,pdbbind,no ligand for 3fee (pdbbind set)
5i2e,docking,pdbbind,5i2e does not contain any pose data
5i2e,crystal,pdbbind,no ligand for 5i2e (pdbbind set)
5ko1,docking,pdbbind,5ko1 does not contain any pose data
5ko1,crystal,pdbbind,no ligand for 5ko1 (pdbbind set)
5nk8,docking,pdbbind,5nk8 does not contain any pose data
5nk8,crystal,pdbbind,no ligand for 5nk8 (pdbbind set)
2j75,docking,pdbbind,2j75 does not contain any pose data
2j75,crystal,pdbbind,no ligand for 2j75 (pdbbind set)
3mzc,docking,pdbbind,3mzc does not contain any pose data
3mzc,crystal,pdbbind,no ligand for 3mzc (pdbbind set)
4yha,docking,pdbbind,4yha does not contain any pose data
4yha,crystal,pdbbind,no ligand for 4yha (pdbbind set)
6cwn,docking,pdbbind,6cwn does not contain any pose data
6cwn,crystal,pdbbind,no ligand for 6cwn (pdbbind set)
1a4r,docking,pdbbind,1a4r does not contain any pose data
1a4r,crystal,pdbbind,no ligand for 1a4r (pdbbind set)
1cps,docking,pdbbind,1cps does not contain any pose data
1cps,crystal,pdbbind,no ligand for 1cps (pdbbind set)
1elc,docking,pdbbind,1elc does not contain any pose data
1elc,crystal,pdbbind,no ligand for 1elc (pdbbind set)
1pxp,docking,pdbbind,1pxp does not contain any pose data
1pxp,crystal,pdbbind,no ligand for 1pxp (pdbbind set)
1wur,docking,pdbbind,1wur does not contain any pose data
1wur,crystal,pdbbind,no ligand for 1wur (pdbbind set)
2xj7,docking,pdbbind,2xj7 does not contain any pose data
2xj7,crystal,pdbbind,no ligand for 2xj7 (pdbbind set)
2yz3,docking,pdbbind,2yz3 does not contain any pose data
2yz3,crystal,pdbbind,no ligand for 2yz3 (pdbbind set)
3pwd,docking,pdbbind,3pwd does not contain any pose data
3pwd,crystal,pdbbind,no ligand for 3pwd (pdbbind set)
3zj6,docking,pdbbind,3zj6 does not contain any pose data
3zj6,crystal,pdbbind,no ligand for 3zj6 (pdbbind set)
4v27,docking,pdbbind,4v27 does not contain any pose data
4v27,crystal,pdbbind,no ligand for 4v27 (pdbbind set)
5cy9,docking,pdbbind,5cy9 does not contain any pose data
5cy9,crystal,pdbbind,no ligand for 5cy9 (pdbbind set)
5nxi,docking,pdbbind,5nxi does not contain any pose data
5nxi,crystal,pdbbind,no ligand for 5nxi (pdbbind set)
5wyx,docking,pdbbind,5wyx does not contain any pose data
5wyx,crystal,pdbbind,no ligand for 5wyx (pdbbind set)
6dar,docking,pdbbind,6dar does not contain any pose data
6dar,crystal,pdbbind,no ligand for 6dar (pdbbind set)
6idg,docking,pdbbind,6idg does not contain any pose data
6idg,crystal,pdbbind,no ligand for 6idg (pdbbind set)
3g19,docking,pdbbind,3g19 does not contain any pose data
3g19,crystal,pdbbind,no ligand for 3g19 (pdbbind set)
5fho,docking,pdbbind,5fho does not contain any pose data
5fho,crystal,pdbbind,no ligand for 5fho (pdbbind set)
5op5,docking,pdbbind,5op5 does not contain any pose data
5op5,crystal,pdbbind,no ligand for 5op5 (pdbbind set)
6b1k,docking,pdbbind,6b1k does not contain any pose data
6b1k,crystal,pdbbind,no ligand for 6b1k (pdbbind set)
6bbx,docking,pdbbind,6bbx does not contain any pose data
6bbx,crystal,pdbbind,no ligand for 6bbx (pdbbind set)
6plf,docking,pdbbind,6plf does not contain any pose data
